energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name
0.325,0.105,129.863,0.0305,0.829,0.0,3,0.607,9,201836,-10.652,0.275,1,audio_features,spotify:track:4uGOdAFauRDbSy1lImngox,Skin - Acoustic Version
0.542,0.0589,99.023,0.0296,0.758,0.586,4,0.658,9,280773,-10.883,0.572,1,audio_features,spotify:track:7DRVOwHIJLIlAFG1pWYXoS,Nobody Else Will Be There
0.822,0.0898,140.002,0.0391,0.0113,7.01e-05,4,0.721,7,217387,-4.843,0.536,1,audio_features,spotify:track:0wDEiGfq4pw7FAkYKpkwMo,Trojans
0.237,0.112,117.824,0.0384,0.945,0.000267,5,0.342,10,324773,-14.601,0.186,1,audio_features,spotify:track:5g97GAdru7XfeJyJhViIll,Smoke Signals
0.663,0.087,155.957,0.0405,0.0125,0.000374,4,0.656,9,101040,-8.208,0.627,1,audio_features,spotify:track:3x7youRVqZ0GPIOAJEEXv8,Dead Oaks
0.527,0.114,119.988,0.0454,0.21,0.529,4,0.761,4,194733,-11.472,0.265,1,audio_features,spotify:track:7dw9Y2IXDk9VD1umi477tM,Maurine
0.584,0.101,114.016,0.0381,0.41,0.000314,4,0.887,11,313684,-8.798,0.677,1,audio_features,spotify:track:6vECYJHxYmm3Ydt3fF01pE,Stolen Dance
0.362,0.313,119.903,0.0411,0.16,0.0,4,0.822,2,229667,-7.462,0.159,1,audio_features,spotify:track:0ZAbupc7jAQpG9IxojQ3s3,Cocaine Jesus
0.731,0.308,87.908,0.0868,0.0534,0.0,4,0.589,2,268867,-6.343,0.191,1,audio_features,spotify:track:5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey)
0.39,0.111,73.433,0.0297,0.491,0.0,4,0.576,10,230267,-7.202,0.319,1,audio_features,spotify:track:0jdny0dhgjUwoIp5GkqEaA,Praying
0.876,0.0734,95.07,0.0495,0.0474,0.0,4,0.559,4,210187,-6.479,0.4,0,audio_features,spotify:track:5uywMR3hTeVPoWaFDSliJb,Thank God For Girls
0.942,0.286,95.001,0.0551,0.0181,0.00469,4,0.545,11,283507,-4.537,0.282,1,audio_features,spotify:track:64or0cWQwoPDdLRYXjvJbG,Creature Comfort
0.719,0.0919,123.999,0.035,0.00184,0.0356,4,0.583,6,202107,-5.643,0.299,1,audio_features,spotify:track:3ym8RPF4EQPqtW0v8G44BT,Tonight You're Perfect
0.724,0.255,84.237,0.0332,0.258,0.162,4,0.492,7,202032,-6.79,0.323,1,audio_features,spotify:track:2o2RDduVgudcGSLrFaV1D0,Handyman
0.69,0.174,179.96,0.0395,0.00129,0.0104,3,0.384,9,273067,-6.613,0.496,1,audio_features,spotify:track:3EytfC22ikoXM921cJbejn,The Gold
0.301,0.187,109.91,0.03,0.658,0.00186,4,0.538,11,245507,-11.248,0.42,0,audio_features,spotify:track:43YJuMTeTEV5FyjVfBqwyf,Nicest Thing
0.806,0.341,149.975,0.0433,0.0454,2.33e-05,4,0.656,1,185200,-5.354,0.572,1,audio_features,spotify:track:7w5Ww1cW8U9v8Q3g4qLpVD,Repeat
0.391,0.122,122.007,0.032,0.509,0.186,4,0.68,11,216853,-11.754,0.137,0,audio_features,spotify:track:5xkNgedTp6xrbqt5gdq6TE,Night Time
0.373,0.0743,117.421,0.0342,0.366,4.55e-06,3,0.385,0,271493,-9.008,0.232,1,audio_features,spotify:track:6dATHRXbCq7lOdKhFnjrge,Rubik's Cube
0.795,0.114,170.06,0.134,0.0938,0.0,4,0.567,9,187613,-4.985,0.635,0,audio_features,spotify:track:4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies
0.496,0.121,145.824,0.0313,0.101,0.0474,4,0.572,2,183173,-11.697,0.376,1,audio_features,spotify:track:1lyx8IlIHhAUd0JLGSTl1P,Let's Talk About Spaceships
0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Perfect
0.79,0.115,105.98,0.0287,0.00108,0.00158,4,0.564,1,252838,-5.253,0.219,1,audio_features,spotify:track:2JMghxSUEV5vGbgLzqNHNk,Deliverance
0.637,0.0602,169.977,0.141,0.0462,2.29e-05,4,0.734,4,202333,-5.677,0.648,0,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out
0.403,0.13,190.447,0.0625,0.0638,0.000151,3,0.325,0,228575,-7.462,0.232,1,audio_features,spotify:track:7JhTr0G0gr3ESY3B9uqPi4,Dig Down
0.778,0.128,100.363,0.027,0.459,0.925,4,0.617,9,127920,-8.871,0.152,0,audio_features,spotify:track:0DAsxISzun85PbsqAfIzeC,Intro
0.624,0.133,68.976,0.113,0.0153,1.78e-06,4,0.586,5,185863,-5.946,0.267,1,audio_features,spotify:track:6lOWoTqVnAWXchddtTH31W,Leave a Light On
0.936,0.161,112.96,0.0439,0.00847,0.0,4,0.56,3,218013,-5.835,0.371,1,audio_features,spotify:track:0GO8y8jQk1PkHzS31d699N,Tongue Tied
0.185,0.175,128.824,0.0339,0.68,3.79e-06,3,0.458,1,193520,-15.1,0.4,1,audio_features,spotify:track:1OPDqRHl4ddnQF7s5qwy0w,Be Everything
